Altium Designer Pick and Place Locations
D:\Work\项目\超级电容组\PCB_Project\Project Outputs for 超级电容组\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       06/04/23
Time:       15:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","2669.291","358.268","180",""
"L1","MSD7342-223","TopLayer","MSD7342","1173.228","2964.567","270",""
"C11","22uF/6.3V","TopLayer","C0603_M","787.402","2401.575","0","Capacitor"
"C42","22uF/6.3V","TopLayer","C0603_M","1574.803","2401.575","0","Capacitor"
"C43","22uF/6.3V","TopLayer","C0603_M","2362.205","2401.575","0","Capacitor"
"C52","22uF/6.3V","TopLayer","C0603_M","2362.205","1574.803","0","Capacitor"
"C51","22uF/6.3V","TopLayer","C0603_M","1574.803","1574.803","0","Capacitor"
"C50","22uF/6.3V","TopLayer","C0603_M","787.402","1574.803","0","Capacitor"
"C59","22uF/6.3V","TopLayer","C0603_M","787.402","748.032","0","Capacitor"
"C60","22uF/6.3V","TopLayer","C0603_M","1574.803","748.032","0","Capacitor"
"C61","22uF/6.3V","TopLayer","C0603_M","2362.205","748.032","0","Capacitor"
"C58","390uF/6.3V","TopLayer","CS_8*12_-_B","2362.205","992.126","180","Polarized Capacitor (Axial)"
"C44","22uF/6.3V","TopLayer","C0603_M","787.402","2118.110","0","Capacitor"
"C45","22uF/6.3V","TopLayer","C0603_M","1574.803","2118.110","0","Capacitor"
"C46","22uF/6.3V","TopLayer","C0603_M","2362.205","2118.110","0","Capacitor"
"C55","22uF/6.3V","TopLayer","C0603_M","2362.205","1291.339","0","Capacitor"
"C54","22uF/6.3V","TopLayer","C0603_M","1574.803","1291.339","0","Capacitor"
"C53","22uF/6.3V","TopLayer","C0603_M","787.402","1291.339","0","Capacitor"
"C62","22uF/6.3V","TopLayer","C0603_M","787.402","464.567","0","Capacitor"
"C63","22uF/6.3V","TopLayer","C0603_M","1574.803","464.567","0","Capacitor"
"U11","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","1094.503","2011.811","180",""
"U10","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","1881.890","2011.811","180",""
"U9","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","2669.291","2011.811","180",""
"U8","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","2669.291","1185.039","180",""
"U7","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","1881.890","1185.039","180",""
"U6","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","1094.503","1185.039","180",""
"U5","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","1094.503","358.268","180",""
"U4","DGD05473FN-7","TopLayer","W-DFN3030-10_L3.0-W3.0-P0.50-BL-EP","1881.890","358.268","180",""
"U2","N76E003AT20","TopLayer","TSSOP20_N","2240.157","2960.630","0",""
"U1","JW5026","TopLayer","SOT23-6N","570.866","2960.630","270",""
"SC1","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","786.220","2401.575","0","Polarized Capacitor (Radial)"
"SC2","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","1573.622","2401.575","0","Polarized Capacitor (Radial)"
"SC3","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","2361.023","2401.575","0","Polarized Capacitor (Radial)"
"SC6","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","2363.386","1574.803","180","Polarized Capacitor (Radial)"
"SC5","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","1575.984","1574.803","180","Polarized Capacitor (Radial)"
"SC4","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","788.583","1574.803","180","Polarized Capacitor (Radial)"
"SC7","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","786.220","748.032","0","Polarized Capacitor (Radial)"
"SC8","60F/2.7V","BottomLayer","CE-7.5*18*35.5_-_BK","1573.622","748.032","0","Polarized Capacitor (Radial)"
